C_Depto,Descripción,C_Municipio,Descripción,C_Aldea,Aldea,C_Cas,Caserío,C_Bar,Barrio,T_Viviendas,T_Viv_Part,Viv_Part_Ocupadas,Viv_Part_Desocupadas,Viv_Colectivas,Hogares,Poblacion
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,382,ALDEA LA  JOYA,683,682,639,43,1,654,2672
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,524,ALDEA LA CAÑADA,514,512,481,31,3,509,2165
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,371,ALDEA LA SOLEDAD,264,264,232,32,0,239,1088
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,372,ALDEA LA TRAVESÍA,3481,3479,3225,254,2,3410,14885
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,617,ALDEA S.O.S.,1,1,1,0,0,1,8
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,373,ALDEA SUYAPA,1334,1330,1236,94,4,1349,5845
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,374,AVE. LA PAZ,16,16,14,2,0,14,70
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,700,BARRIO AGUA DULCE 1,83,83,83,0,0,88,369
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,701,BARRIO EL GUAYABAL,80,80,73,7,0,75,307
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,17,BO.  EL CHILE,774,774,713,61,0,749,3018
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,4,BO.  SIMON BOLÍVAR,126,126,96,30,0,102,412
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,BO. ABAJO,277,277,246,31,0,247,820
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,383,BO. ALTOS DEL BOSQUE O 13 DE FEBRER,98,98,97,1,0,111,532
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,2,BO. BELÉN,1086,1082,886,196,4,904,3532
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,3,BO. BELLA VISTA,1255,1255,1159,96,0,1214,4944
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,121,BO. BRISAS DEL PICACHO,234,234,226,8,0,266,1247
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,6,BO. BUENA VISTA,72,72,72,0,0,73,297
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,7,BO. BUENOS AIRES,843,838,712,126,5,724,2923
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,38,BO. BURRERA,286,284,251,33,2,252,1002
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,8,BO. CAMAGUARA,286,285,241,44,1,249,1044
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,10,BO. CENTRO DE COMAYAGUELA,410,405,321,84,5,326,946
