"","Fecha","Temperatura (°C)","Humedad Relativa (%)","Velocidad del Viento (m/s)","Dirección del Viento","Punto de Rocio (°C)"
"1",2017-05-22 18:00:00,26,88.75,1.028888,200,24
"2",2017-05-22 19:00:00,25,94.19,0,0,24
"3",2017-05-22 20:00:00,25,94.19,0,0,24
"4",2017-05-22 21:00:00,24,94.14,0,0,23
"5",2017-05-22 22:00:00,24,94.14,0,0,23
"6",2017-05-22 23:00:00,24,94.14,1.028888,150,23
"7",2017-05-23 00:00:00,24,94.14,1.028888,180,23
"8",2017-05-23 06:00:00,23,94.1,1.028888,150,22
"9",2017-05-23 07:00:00,27,78.76,0,0,23
"10",2017-05-23 08:00:00,29,70.08,1.028888,290,23
"11",2017-05-23 09:00:00,30,66.15,1.543332,190,23
"12",2017-05-23 10:00:00,31,62.47,2.057776,300,23
"13",2017-05-23 11:00:00,31,62.47,2.57222,350,23
"14",2017-05-23 13:00:00,31,70.45,3.601108,350,25
"15",2017-05-23 14:00:00,32,66.55,3.086664,350,25
"16",2017-05-23 15:00:00,33,59.24,4.115552,20,24
"17",2017-05-23 16:00:00,32,66.55,5.14444,30,25
"18",2017-05-23 17:00:00,30,79.18,5.14444,20,26
"19",2017-05-23 18:00:00,29,79.04,3.086664,40,25
"20",2017-05-23 21:00:00,27,94.27,2.057776,150,26
"21",2017-05-23 22:00:00,27,94.27,0,0,26
"22",2017-05-23 23:00:00,26,94.23,0,0,25
"23",2017-05-24 00:00:00,26,94.23,0,0,25
"24",2017-05-24 01:00:00,25,94.19,0,0,24
"25",2017-05-24 06:00:00,24,94.14,0,0,23
"26",2017-05-24 08:00:00,30,70.27,0,0,24
"27",2017-05-24 10:00:00,32,70.63,2.57222,330,26
"28",2017-05-24 11:00:00,32,70.63,2.57222,340,26
"29",2017-05-24 12:00:00,33,62.9,2.57222,340,25
"30",2017-05-24 13:00:00,33,66.75,3.086664,350,26
"31",2017-05-24 14:00:00,32,70.63,2.57222,360,26
"32",2017-05-24 15:00:00,32,66.55,3.086664,360,25
"33",2017-05-24 16:00:00,33,62.9,2.057776,350,25
"34",2017-05-24 17:00:00,31,70.45,2.57222,60,25
"35",2017-05-24 18:00:00,30,70.27,1.543332,80,24
"36",2017-05-24 19:00:00,29,74.44,0,0,24
"37",2017-05-24 20:00:00,28,78.9,0,0,24
"38",2017-05-24 22:00:00,27,83.66,2.57222,70,24
