"","Fecha","Temperatura (°C)","Humedad Relativa (%)","Velocidad del Viento (m/s)","Dirección del Viento","Punto de Rocio (°C)"
"1",2017-05-22 18:00:00,28,83.77,4.115552,50,25
"2",2017-05-22 19:00:00,27,88.83,4.115552,150,25
"3",2017-05-22 20:00:00,26,94.23,4.115552,190,25
"4",2017-05-22 21:00:00,26,94.23,3.601108,200,25
"5",2017-05-22 22:00:00,26,94.23,2.057776,150,25
"6",2017-05-22 23:00:00,25,100,0,0,25
"7",2017-05-23 00:00:00,26,94.23,0,0,25
"8",2017-05-23 01:00:00,24,100,0,0,24
"9",2017-05-23 02:00:00,24,100,0,0,24
"10",2017-05-23 03:00:00,25,94.19,0,0,24
"11",2017-05-23 04:00:00,25,94.19,0,0,24
"12",2017-05-23 05:00:00,25,94.19,0,0,24
"13",2017-05-23 06:00:00,25,94.19,4.115552,160,24
"14",2017-05-23 07:00:00,27,88.83,2.57222,140,25
"15",2017-05-23 08:00:00,30,74.61,3.601108,180,25
"16",2017-05-23 09:00:00,32,66.55,4.629996,210,25
"17",2017-05-23 10:00:00,33,59.24,5.14444,170,24
"18",2017-05-23 11:00:00,35,56.25,4.115552,200,25
"19",2017-05-23 13:00:00,37,42.04,3.086664,100,22
"20",2017-05-23 14:00:00,38,39.81,3.086664,120,22
"21",2017-05-23 15:00:00,37,53.47,6.173328,30,26
"22",2017-05-23 16:00:00,35,59.69,7.71666,20,26
"23",2017-05-23 17:00:00,33,62.9,8.231104,10,25
"24",2017-05-23 18:00:00,31,70.45,4.115552,360,25
"25",2017-05-23 19:00:00,30,74.61,4.115552,360,25
"26",2017-05-23 20:00:00,29,79.04,3.086664,160,25
"27",2017-05-23 21:00:00,29,83.88,1.028888,160,26
"28",2017-05-23 22:00:00,28,94.31,1.028888,300,27
"29",2017-05-23 23:00:00,28,88.9,0,0,26
"30",2017-05-24 00:00:00,28,88.9,0,0,26
"31",2017-05-24 01:00:00,28,88.9,0,0,26
"32",2017-05-24 02:00:00,26,94.23,0,0,25
"33",2017-05-24 03:00:00,29,79.04,0,0,25
"34",2017-05-24 04:00:00,29,79.04,0,0,25
"35",2017-05-24 05:00:00,28,83.77,3.086664,180,25
"36",2017-05-24 06:00:00,28,78.9,2.057776,180,24
"37",2017-05-24 08:00:00,32,62.68,6.173328,160,24
"38",2017-05-24 10:00:00,35,52.98,6.173328,160,24
"39",2017-05-24 11:00:00,36,47.19,6.173328,190,23
"40",2017-05-24 12:00:00,38,42.3,7.71666,190,23
"41",2017-05-24 13:00:00,38,42.3,5.14444,170,23
"42",2017-05-24 14:00:00,40,37.98,3.086664,150,23
"43",2017-05-24 15:00:00,37,56.72,8.745548,30,27
"44",2017-05-24 16:00:00,35,63.32,9.259992,360,27
"45",2017-05-24 17:00:00,33,66.75,7.202216,360,26
"46",2017-05-24 17:32:00,26,94.23,11.832212,210,25
"47",2017-05-24 19:00:00,24,100,2.57222,90,24
"48",2017-05-24 20:00:00,25,100,3.086664,320,25
"49",2017-05-24 22:00:00,25,100,2.57222,270,25
"50",2017-05-24 23:00:00,25,100,2.057776,210,25
"51",2017-05-25 00:00:00,25,100,3.086664,180,25
"52",2017-05-25 01:00:00,25,100,3.086664,170,25
"53",2017-05-25 03:00:00,25,100,2.057776,170,25
"54",2017-05-25 04:00:00,25,100,1.028888,170,25
"55",2017-05-25 05:00:00,25,94.19,3.086664,220,24
"56",2017-05-25 06:00:00,24,100,1.543332,180,24
"57",2017-05-25 07:00:00,25,100,1.543332,200,25
"58",2017-05-25 08:00:00,28,83.77,1.543332,160,25
