,Cd,LCMC ,LCMxC,ACC,LmxP,AmP,Peso_kg,Anillos,Género,Estudiante
1,4,19.2,19.7,16.7,16.4,11.1,0.65,9,R,JJ
2,115,18.2,18.9,16.5,14.1,11.7,0.6,11,R,JJ
3,71,14.6,16.1,13.9,12.8,10.6,0.35,11,R,JJ
4,116,22.4,23.9,20.7,20.4,13.9,1.2,9,R,JJ
5,97,16.7,17.4,14.2,13.9,10.7,0.5,12,R,JJ
6,22,23,24.5,20.8,21.2,14.5,1.7,11,R,E
7,5,21.5,23,19.1,18.8,13,1.1,15,R,E
8,113,17.2,18.7,16.3,14.3,11.4,0.7,10,R,E
9,18,16.2,17.7,13.4,14.4,8.1,0.9,14,K,O
10,3,22.4,23.1,20.1,20.4,13.8,1.95,18,R,O
11,199,22.1,22.6,19.9,18.2,13.6,1.9,19,R,O
12,36,16.4,16.8,15.2,14.1,8.2,0.4,5,R,M
13,114,16.9,17.5,16,13.4,11,0.7,8,R,M
14,67,20.8,21.6,20.7,20.7,12.6,1.3,10,R,M
15,6,18.7,19,18.9,17.1,12.6,1.2,7,R,JP
16,126,16.1,16.4,14.7,12.9,7.2,0.5,,K,JP
17,63,22.3,23.3,20.1,20,14.3,1.2,9,R,JP
